correct_red,correct_green,correct_blue,rotten_red,rotten_green,rotten_blue,len_correct_part,len_rotten_part,class_fruit
122.0943605,82.30130421,50.33528691,197.798906,185.2198489,122.0064967,2196374,1256652,D
99.27871882,63.11878066,33.53273001,195.0684685,180.7906419,109.4392313,1432055,942707,D
100.256451,63.71237807,33.71015877,195.8008419,180.9177035,108.9081015,1459951,959601,D
97.57127244,77.31164901,65.66933208,190.7539841,179.4351939,129.6732193,1729649,1333454,D
82.28360253,64.37486571,54.08196826,174.7898791,163.2155787,113.1360024,1622834,1326483,D
81.80009319,64.08718493,53.68326111,175.8181207,164.0147165,114.17554,1620678,1328910,D
62.90083201,46.90165036,37.59737839,174.3856617,161.6222196,109.8138692,1252551,1076996,D
61.99870046,46.38663226,37.05396853,174.1317452,161.6311284,109.7722863,1277366,1085126,D
61.70873186,45.77509596,36.60808478,173.8425833,161.1911489,109.0763783,1259951,1074485,D
129.8822026,85.56443678,63.03765038,196.9877018,167.1661165,128.9594791,3137037,665358,D
129.8044047,86.1149057,63.6665862,197.2727964,167.8014044,129.2104012,3178221,656136,D
129.8529918,86.53105637,64.0133748,196.9986575,167.9251408,129.5672083,3081299,640762,D
129.5611621,86.60470768,63.91091952,196.2890122,167.8189049,129.5683836,3050998,636459,D
129.5310906,86.23758666,63.93350285,196.1103068,167.3339573,128.9417786,3047023,641434,D
129.5651522,86.32376298,63.57820223,196.1937986,167.1445802,128.4164747,3026549,644386,D
129.8965437,86.19071501,63.73795179,196.3080605,167.0779305,128.3501853,3003130,638344,D
129.9698373,85.97217507,63.34486152,196.4728931,167.2701258,129.0027943,2985750,651847,D
144.5849505,96.2037547,53.71377657,216.6231841,177.7166581,125.7002834,1083932,671769,D
144.4173253,96.12838852,53.56422902,216.6850739,177.1920293,124.7950062,1079612,664699,D
135.0858077,86.94359505,48.12071587,217.4707052,176.4644525,121.6779042,1328502,849630,D
135.8810589,87.55931433,48.29820935,217.5348814,176.7193417,122.0185445,1317084,845643,D
135.2675302,86.9461969,47.58109946,216.6653131,175.8779581,120.9054356,1310057,834935,D
107.7936113,70.27846761,50.68974464,198.3202809,197.4165489,136.7522277,1394559,507741,D
108.3724643,71.16082455,51.12689754,198.6895444,198.1804583,137.2667474,1394852,503643,D
108.1363495,71.47662558,51.4830069,199.0066581,197.782526,137.1633843,1396022,502925,D
108.3687193,71.44844763,51.56766994,199.0633116,197.6685284,137.7387386,1395097,501595,D
108.7025919,71.62244458,51.59165961,199.2823723,197.783428,137.7985948,1409551,508575,D
125.5212577,88.58939222,65.65195414,233.6914749,206.6619685,148.3897111,1445075,551810,D
115.5912418,81.91491822,58.28367097,239.9516849,219.172081,162.7870986,1471335,586643,D
116.9187829,81.44237075,58.08229938,239.801109,219.1005461,163.8582805,1489165,574457,D
103.0595021,68.04210297,48.27866855,225.5225424,203.972659,132.4087627,1635243,591165,D
111.4739944,75.4769176,53.37079545,233.8641416,213.208275,149.5382092,1836335,652354,D
161.3541983,111.8563673,42.61835803,205.5877202,185.4174395,116.6604462,1594053,398884,D
155.8647777,107.1550412,42.05443643,201.2340927,181.140844,120.6757888,1645510,419941,D
153.8182782,106.9686025,43.00981468,199.9665992,180.8804607,119.0605908,1674244,412492,D
155.4017983,108.5229839,42.6198928,201.5093401,182.1214277,122.3155044,1701472,414046,D
155.4846621,108.7413514,42.37573273,200.4791967,181.0615396,121.0397824,1857157,440396,D
129.8488354,70.17179282,39.5527086,214.3939201,180.385543,88.77231576,815523,994273,D
131.3149088,70.78475088,41.57614908,209.8093832,174.9179009,82.02383908,820902,1050986,D
128.0532552,68.22538854,40.97771444,204.8363409,169.6252778,78.6624737,782627,1024694,D
132.3860151,80.63205589,42.65078321,210.263779,180.7310818,90.97097544,777244,857150,D
141.3829339,87.31813407,35.99619525,193.6773026,171.4776618,102.4835282,1370120,444741,D
137.1588956,86.55414671,36.60504014,184.7020491,162.3295651,92.25293762,1350784,471737,D
140.3109342,89.65097773,37.90958287,189.7558166,169.4653961,99.52819693,1328018,417977,D
131.8654123,81.98604383,33.61200439,180.6080248,158.6367213,88.90819785,1258597,418686,D
172.2861547,143.9596696,62.4642225,99.64223903,88.21814412,78.591598,1241996,796204,D
177.6299111,149.162549,63.09543437,106.0195358,95.46280844,85.16664663,1199386,813226,D
177.1570555,148.7313976,62.7729748,105.9116474,95.88717005,85.52623956,1175445,808888,D
176.6330619,145.0375298,47.79602099,119.1976437,109.5593427,100.6791606,1068710,959677,D
173.2594797,141.6328414,45.38971637,122.428836,112.9758876,104.9723271,1114575,953069,D
166.5150806,133.9073867,41.71926144,128.1401099,123.9132069,115.6811315,1195008,776491,D
164.8291984,133.8914508,43.66583934,130.9430138,126.9071008,118.8091729,1143699,727159,D
149.14072,121.1740207,48.59325046,181.1114414,161.6935196,109.1093479,1267112,541684,D
144.9092898,118.3494602,50.80858698,181.5674689,162.241287,104.9409343,1269882,576849,D
144.3713683,117.9296547,51.23948814,183.001735,163.0743033,102.8939261,1358761,623696,D
142.9949506,116.8243603,52.01013019,181.8924522,162.0425671,102.2853775,1649499,761373,D
163.4997129,144.4554649,44.3970211,203.5332138,194.3396268,95.18512198,1332580,731808,D
161.0287413,142.9125324,45.6236756,201.6385809,192.4227776,94.42766768,1298822,737560,D
160.2929282,142.7129373,44.75984457,201.2799709,192.1218162,95.1654955,1379638,796210,D
162.2629732,145.0423373,49.15392902,203.619138,194.225401,96.81795144,1521467,958378,D
161.8530763,142.2956113,46.22377301,202.9475385,195.0566804,102.6336991,1328895,771006,D
158.5598556,139.1040859,45.82668794,203.962074,196.245097,103.45496,1510009,886804,D
152.254863,129.8688051,46.91585345,199.9308886,192.0826696,109.4851211,1524630,980632,D
109.105229,61.30349754,37.32352436,196.4973361,185.7255966,112.8768308,961478,449870,D
113.6453544,67.98642447,41.60651773,196.6989833,184.2952677,110.1974458,1086437,620793,D
121.0832387,74.67876989,47.62529818,208.3030707,198.998459,129.9505776,1450819,584898,D
109.4941316,67.04418815,45.91982857,190.2844664,179.8865513,111.0685122,1470363,697306,D
102.0071373,64.45453902,40.94689007,184.0625423,177.4617456,108.6472097,1710482,701653,D
113.8406451,74.93709158,47.31680867,188.8379007,181.9967606,110.4859797,1903753,764370,D
116.1215546,77.85736012,46.54410528,191.7024863,184.5923615,115.178421,1869602,665472,D
115.6065782,64.24008651,31.9754946,208.5566886,122.9091086,41.72790381,313595,1328187,D
115.171743,64.61122248,32.98383037,209.1899313,124.1041786,42.88577711,340168,1317790,D
119.5012062,66.91985089,35.5082386,210.2484281,127.1973812,44.05633737,712963,1700290,D
122.8053598,67.24780985,33.53403064,210.6120472,130.5772972,46.99349508,1025498,1754574,D
122.8967142,67.27711847,33.81071938,209.6698661,130.6144577,46.99730257,1215196,1920582,D
125.7603632,67.06002316,31.47155493,211.0980844,133.5810829,49.47472543,1484366,1795441,D
125.5086243,65.77670315,30.15963568,212.2111502,134.7713737,50.59079658,1610890,1743134,D
120.5760783,60.80595249,26.65857949,208.5725207,131.8736828,48.55651122,1520908,1450065,D
